Name,Release_season,Rating,Release_year,End_year
Descending Stories: Shouwa Genroku Rakugo Shinjuu,Winter,4.35,2017,Ongoing
Haikyuu!! Movie 3: Talent and Sense,no data,4.35,2017,Ongoing
Mo Dao Zu Shi Q,no data,4.34,2020,2021
Natsume's Book of Friends Season 2,Winter,4.34,2009,Ongoing
Made in Abyss Movie: Dawn of the Deep Soul,no data,4.34,2020,Ongoing
Fruits Basket 1st Season,Spring,4.34,2019,Ongoing
Kizumonogatari Part 3: Reiketsu,no data,4.34,2017,Ongoing
Dr. Stone: Stone Wars,Winter,4.34,2021,Ongoing
My Hero Academia 4,Fall ,4.34,2019,2020
Owarimonogatari II,no data,4.34,2017,Ongoing
Great Teacher Onizuka,Summer,4.33,1999,2000
Your lie in April,Fall ,4.33,2014,2015
Bungo Stray Dogs 3rd Season,Spring,4.33,2019,Ongoing
Kamisama Kiss 2nd Season,Winter,4.33,2015,Ongoing
Violet Evergarden: Eternity and the Auto Memory Doll,no data,4.33,2019,Ongoing
Mob Psycho 100,Summer,4.33,2016,Ongoing
Natsume's Book of Friends Season 6 Specials,no data,4.33,2017,Ongoing
Kuroko's Basketball 2,Fall ,4.33,2013,2014
Natsume's Book of Friends Movie: Ephemeral Bond,no data,4.33,2018,Ongoing
Odd Taxi,Spring,4.32,2021,Ongoing
The Legend of Hei,no data,4.32,2019,Ongoing
Death Note,Fall ,4.32,2006,2007
Moriarty the Patriot 2nd Season,Spring,4.32,2021,Ongoing
Fate/stay night: Heaven's Feel III. spring song,no data,4.32,2020,Ongoing
One Piece Movie 14: Stampede,no data,4.32,2019,Ongoing
Kingdom 3,Spring,4.32,2020,2021
One Piece,Fall ,4.32,1999,Ongoing
Mushishi: Hihamukage,no data,4.32,2014,Ongoing
Tokyo Revengers,Spring,4.31,2021,Ongoing
My Hero Academia Movie 2: Heroes:Rising,no data,4.31,2019,Ongoing
Fate/Zero 2,Spring,4.31,2012,Ongoing
My Hero Academia,Spring,4.31,2016,Ongoing
Steins;Gate Movie: Load Region of Deja Vu,no data,4.31,2013,Ongoing
KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson,no data,4.31,2019,Ongoing
Yuri!!! on Ice,Fall ,4.31,2016,Ongoing
Dou Po Cangqiong: San Nian Zhi Yao,no data,4.31,2021,Ongoing
Dororo (2019),Winter,4.3,2019,Ongoing
Bunny Drop,Summer,4.3,2011,Ongoing
Gintama: Shinyaku Benizakura-hen,no data,4.3,2010,Ongoing
The Garden of Sinners Movie 5: Paradox Paradigm,no data,4.3,2008,Ongoing
Bakuman. 3,Fall ,4.3,2012,2013
The Disastrous Life of Saiki K.,Summer,4.3,2016,Ongoing
Given: Uragawa no Sonzai,no data,4.3,2021,Ongoing
Black Butler: Book of the Atlantic,no data,4.3,2017,Ongoing
The Boy and the Beast,no data,4.3,2015,Ongoing
Miss Kobayashi's Dragon Maid S,Summer,4.3,2021,Ongoing
Kono Oto Tomare! 2nd Season,Fall ,4.3,2019,Ongoing
The Disappearance of Haruhi Suzumiya,no data,4.3,2010,Ongoing
Kizumonogatari Part 2: Nekketsu,no data,4.29,2016,Ongoing
Mushishi Zoku Shou: Suzu no Shizuku,no data,4.29,2015,Ongoing
Overlord III,Summer,4.29,2018,Ongoing
Re:ZERO -Starting Life in Another World- Season 2: Part II,Winter,4.29,2021,Ongoing
Laid-Back Camp 2nd Season,Winter,4.29,2021,Ongoing
Saga of Tanya the Evil Movie,no data,4.29,2019,Ongoing
Mushishi Zoku Shou: Odoro no Michi,no data,4.29,2014,Ongoing
The Disastrous Life of Saiki K. 3,no data,4.29,2018,Ongoing
Hellsing Ultimate,no data,4.29,2006,2012
Natsume's Book of Friends Season 5 Specials,no data,4.29,2017,Ongoing
JoJo's Bizarre Adventure Re-Edited,no data,4.28,2014,Ongoing
Parasyte -the maxim-,Fall ,4.28,2014,2015
Hikari: Be My Light,no data,4.28,2020,Ongoing
Ouran High School Host Club,Spring,4.28,2006,Ongoing
Food Wars! The Second Plate,Summer,4.28,2016,Ongoing
Ghost in the Shell: Stand Alone Complex 2nd Gig,Winter,4.28,2004,2005
Barakamon,Summer,4.28,2014,Ongoing
Noragami Aragoto,Fall ,4.28,2015,Ongoing
Ace of the Diamond: Act II,Spring,4.28,2019,2020
Re:ZERO -Starting Life in Another World- Season 2,Summer,4.28,2020,Ongoing
Ascendance of a Bookworm: Part II,Spring,4.28,2020,Ongoing
"Kamisama Kiss: Kamisama, Shiawase ni Naru",no data,4.28,2016,Ongoing
Quanzhi Gaoshou: Tebie Pian,no data,4.28,2018,Ongoing
Steins;Gate 0,Spring,4.28,2018,Ongoing
Golden Kamuy Season 3,Fall ,4.28,2020,Ongoing
Weathering With You,no data,4.27,2019,Ongoing
Semantic Error,no data,4.27,2021,Ongoing
86: Eighty-Six - Part II,Fall ,4.27,2021,Ongoing
Dou Po Cangqiong 4th Season,no data,4.27,2021,Ongoing
School Babysitters,Winter,4.27,2018,Ongoing
Douluo Dalu,no data,4.27,2018,Ongoing
The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B),no data,4.27,2009,Ongoing
Major Season 5,Winter,4.27,2009,Ongoing
Bungo Stray Dogs 2nd Season,Fall ,4.27,2016,Ongoing
Maquia: When the Promised Flower Blooms,no data,4.27,2018,Ongoing
Steins;Gate: Egoistic Poriomania,no data,4.27,2012,Ongoing
Mushishi,Fall ,4.27,2005,2006
The Stranger by the Shore,no data,4.27,2020,Ongoing
One Piece Movie 10: Strong World,no data,4.27,2009,Ongoing
Food Wars! The Third Plate,Fall ,4.27,2017,Ongoing
Kuroko's Basketball: Last Game,no data,4.26,2017,Ongoing
Tengen Toppa Gurren Lagann,Spring,4.26,2007,Ongoing
Kamisama Kiss,Fall ,4.26,2012,Ongoing
Moriarty the Patriot,Fall ,4.26,2020,Ongoing
Kuroko's Basketball: The Greatest Present,no data,4.26,2015,Ongoing
Kaguya-sama: Love Is War,Winter,4.26,2019,Ongoing
Food Wars! Shokugeki no Souma,Spring,4.26,2015,Ongoing
Mushoku Tensei: Jobless Reincarnation,Winter,4.26,2021,Ongoing
Snow White with the Red Hair 2nd Season,Winter,4.26,2016,Ongoing
JoJo's Bizarre Adventure: Stardust Crusaders,Spring,4.26,2014,Ongoing
Natsume Yuujinchou: Itsuka Yuki no Hi ni,no data,4.26,2014,Ongoing
Detective Conan: Episode One - The Great Detective Turned Small,no data,4.26,2016,Ongoing
No Game No Life,Spring,4.26,2014,Ongoing
Chihayafuru 2,Winter,4.25,2013,Ongoing
Gintama: Yorinuki Gintama-san on Theater 2D,no data,4.25,2012,Ongoing
Legend of the Galactic Heroes,no data,4.25,1988,1997
The Quintessential Quintuplets 2,Winter,4.25,2021,Ongoing
Black Butler: Book of Murder,no data,4.25,2014,Ongoing
Yuri!!! on Ice: Welcome to The Madness,no data,4.25,2017,Ongoing
My Neighbor Totoro,no data,4.25,1988,Ongoing
Food Wars! The Third Plate: Totsuki Train Arc,Spring,4.25,2018,Ongoing
Anohana: The Flower We Saw That Day,Spring,4.25,2011,Ongoing
Gintama: Aizome Kaori-hen,no data,4.25,2016,Ongoing
Fate/stay night: Unlimited Blade Works 2,Spring,4.25,2015,Ongoing
Fate/stay night: Heaven's Feel II. lost butterfly,no data,4.25,2019,Ongoing
Hunter x Hunter OVA 3: Greed Island Final,no data,4.25,2004,Ongoing
Kuroko's Basketball,Spring,4.25,2012,Ongoing
Naruto Shippuden,Winter,4.25,2007,2017
Maid-sama!,Spring,4.25,2010,Ongoing
Fairy Tail: Final Season,Fall ,4.25,2018,2019
Scissor Seven 3rd Season,no data,4.25,2021,Ongoing
Fairy Tail 2,Spring,4.25,2014,2016
Hajime no Ippo: Champion Road,no data,4.25,2003,Ongoing
Chihayafuru 3,Fall ,4.25,2019,2020
Haikyuu!! Riku vs Kuu,no data,4.24,2020,Ongoing
Violet Evergarden Special,no data,4.24,2018,Ongoing
Bakuman. 2,Fall ,4.24,2011,2012
Spice and Wolf II,Summer,4.24,2009,Ongoing
Magi: The Kingdom of Magic,Fall ,4.24,2013,2014
Black Butler: Book of Circus,Summer,4.24,2014,Ongoing
Gintama: Shinyaku Benizakura-hen Special,no data,4.24,2010,Ongoing
Yona of the Dawn,Fall ,4.24,2014,2015
Evangelion: 3.0+1.0 Thrice Upon a Time,no data,4.24,2021,Ongoing
Haikyuu!! Movie 2: Shousha to Haisha,no data,4.24,2015,Ongoing
School Babysitters Special,no data,4.24,2018,Ongoing
Toilet-Bound Hanako-kun,Winter,4.24,2020,Ongoing
Shelter,no data,4.24,2016,Ongoing
Scissor Seven 2nd Season,no data,4.24,2019,2020
Non Non Biyori Nonstop,Winter,4.24,2021,Ongoing
Samurai Champloo,Spring,4.24,2004,2005
Run with the Wind,Fall ,4.24,2018,2019
My Dress-Up Darling,Winter,4.24,2022,Ongoing
Grave of the Fireflies,no data,4.23,1988,Ongoing
JoJo's Bizarre Adventure: Phantom Blood,no data,4.23,2007,Ongoing
Tengen Toppa Gurren Lagann: Lagann-hen,no data,4.23,2009,Ongoing
Haikyuu!! Movie 1: Owari to Hajimari,no data,4.23,2015,Ongoing
No Game No Life: Zero,no data,4.23,2017,Ongoing
Shouwa Genroku Rakugo Shinjuu,Winter,4.23,2016,Ongoing
Dragon Ball Super Movie: Broly,no data,4.23,2018,Ongoing
Detective Conan Movie 20: The Darkest Nightmare,no data,4.23,2016,Ongoing
Sasaki and Miyano,Winter,4.23,2022,Ongoing
Black Lagoon: The Second Barrage,Fall ,4.23,2006,Ongoing
Ace of the Diamond: Second Season,Spring,4.23,2015,2016
My Teen Romantic Comedy SNAFU Climax,Summer,4.23,2020,Ongoing
Evangelion: 2.0 You Can (Not) Advance,no data,4.23,2009,Ongoing
Major Season 6,Spring,4.23,2010,Ongoing
Bungo Stray Dogs Wan!,Winter,4.23,2021,Ongoing
Made in Abyss: Hourou Suru Tasogare,no data,4.23,2019,Ongoing
Rascal Does Not Dream of Bunny Girl Senpai,Fall ,4.23,2018,Ongoing
Kingdom 2,Summer,4.23,2013,2014
InuYasha: The Final Act,Fall ,4.23,2009,2010
Gintama: The Semi-Final,Winter,4.23,2021,Ongoing
Major Season 3,Winter,4.22,2007,Ongoing
