Name,Release_season,Rating,Release_year,End_year
You and Me. 2,Spring,3.99,2012,Ongoing
Hetalia: World Series,Spring,3.99,2010,2011
Persona 3 the Movie 4: Winter of Rebirth,no data,3.99,2016,Ongoing
Love Live! School Idol Project 2nd Season,Spring,3.99,2014,Ongoing
Yumeiro Pâtissière SP Professional,Fall ,3.99,2010,Ongoing
Food Wars! Shokugeki no Souma OVA,no data,3.98,2016,Ongoing
K-On! Live House!,no data,3.98,2010,Ongoing
Big Windup!,Spring,3.98,2007,Ongoing
Cardcaptor Sakura: Clear Card Prologue - Sakura and the Two Bears,no data,3.98,2017,Ongoing
Ace of the Diamond: Second Season OVA,no data,3.98,2016,Ongoing
"Love, Chunibyo & Other Delusions!",Fall ,3.98,2012,Ongoing
Interviews with Monster Girls,Winter,3.98,2017,Ongoing
Thunderbolt Fantasy Movie 2: Bewitching Melody of the West,no data,3.98,2019,Ongoing
Elfen Lied,Summer,3.98,2004,Ongoing
K-On!,Spring,3.98,2009,Ongoing
Eureka Seven,Spring,3.98,2005,2006
Yaoshenji 5th Season,no data,3.98,2021,Ongoing
Knights of Sidonia: Battle for Planet Nine,Spring,3.98,2015,Ongoing
Golden Boy,no data,3.98,1995,1996
Luo Xiaohei Zhan Ji,no data,3.98,2011,2019
Plastic Memories,Spring,3.98,2015,Ongoing
ef - a tale of melodies,Fall ,3.98,2008,Ongoing
Life Lessons with Uramichi Oniisan,Summer,3.98,2021,Ongoing
Lupin III: Goemon's Blood Spray,no data,3.98,2017,Ongoing
The World God Only Knows: Tenri Arc,no data,3.98,2012,Ongoing
Shakugan no Shana II,Fall ,3.98,2007,2008
K: Missing Kings,no data,3.98,2014,Ongoing
One Piece Special: Heart of Gold,no data,3.98,2016,Ongoing
K: Seven Stories Movie 5 - Memory of Red ~BURN~,no data,3.98,2018,Ongoing
BanG Dream! Movie: Episode of Roselia - Part II: Song I am,no data,3.98,2021,Ongoing
Full Metal Panic!,Winter,3.98,2002,Ongoing
Bleach Movie 4: Hell Verse,no data,3.98,2010,Ongoing
Cells at Work!,Summer,3.98,2018,Ongoing
Peace Sign,no data,3.98,2017,Ongoing
The Way of the Househusband 2,Fall ,3.98,2021,Ongoing
ef - a tale of memories,Fall ,3.98,2007,Ongoing
Legend of the Galactic Heroes: My Conquest is the Sea of Stars,no data,3.98,1988,Ongoing
Noblesse: Awakening,no data,3.98,2016,Ongoing
Beelzebub,Winter,3.98,2011,2012
Kyo Kara Maoh! 3rd Series,Spring,3.98,2008,2009
Nodame Cantabile: Finale Special,no data,3.98,2010,Ongoing
Ajin: Demi-Human 2nd Season,Fall ,3.98,2016,Ongoing
Star Blazers: Space Battleship Yamato 2202,no data,3.98,2017,2019
Magic Kaito 1412,Fall ,3.98,2014,2015
IDOLiSH7: Third BEAT!,Summer,3.98,2021,Ongoing
Monthly Girls' Nozaki-kun Specials,no data,3.98,2014,2015
Haré+Guu DELUXE,no data,3.98,2002,2003
Saint Young Men Movie,no data,3.98,2013,Ongoing
Dusk Maiden of Amnesia,Spring,3.98,2012,Ongoing
Eyeshield 21,Spring,3.97,2005,2008
Seitokai Yakuindomo Movie,no data,3.97,2017,Ongoing
New Game!!,Summer,3.97,2017,Ongoing
Taisho Otome Fairy Tale,Fall ,3.97,2021,Ongoing
Kemono Jihen,Winter,3.97,2021,Ongoing
A Certain Scientific Railgun,Fall ,3.97,2009,2010
DARLING in the FRANXX,Winter,3.97,2018,Ongoing
Hanasaku Iroha: Home Sweet Home,no data,3.97,2013,Ongoing
The Seven Deadly Sins OVA,no data,3.97,2015,Ongoing
Kuroko's Basketball: NG-shuu,no data,3.97,2012,2013
Kaiba,Spring,3.97,2008,Ongoing
xxxHOLiC,Spring,3.97,2006,Ongoing
Wan Jie Xian Zong 2nd Season,no data,3.97,2019,Ongoing
Future Diary,Fall ,3.97,2011,2012
Super Lovers OVA,no data,3.97,2017,Ongoing
A Lull in the Sea,Fall ,3.97,2013,2014
Future Boy Conan,no data,3.97,1978,Ongoing
Daily Lives of High School Boys Specials,no data,3.97,2012,Ongoing
Heaven's Lost Property Forte,Fall ,3.97,2010,Ongoing
BanG Dream! 3rd Season,Winter,3.97,2020,Ongoing
Pokemon XY&Z,Fall ,3.97,2015,2016
Aria the Origination: That Secret Little Place...,no data,3.97,2008,Ongoing
Recovery of an MMO Junkie,Fall ,3.97,2017,Ongoing
Hikaru no Go,Fall ,3.97,2001,2003
Tenchi Muyo! Ryo-Ohki 2,no data,3.97,1994,1995
K: Return of Kings,Fall ,3.97,2015,Ongoing
Restaurant to Another World 2,Fall ,3.97,2021,Ongoing
Another,Winter,3.97,2012,Ongoing
Pretty Guardian Sailor Moon Eternal Movie 2,no data,3.97,2021,Ongoing
Hakuouki: A Memory of Snow Flowers,no data,3.97,2011,2012
To Love Ru: Darkness 2nd Specials,no data,3.97,2015,Ongoing
Yuru Yuri Nachu Yachumi!,no data,3.97,2014,Ongoing
Is It Wrong to Try to Pick Up Girls in a Dungeon? Movie: Arrow of the Orion,no data,3.97,2019,Ongoing
Non Non Biyori,Fall ,3.97,2013,Ongoing
Chi's New Address,Winter,3.97,2009,Ongoing
A Certain Magical Index II,Fall ,3.97,2010,2011
Chainsaw Man PV,no data,3.97,2021,Ongoing
How a Realist Hero Rebuilt the Kingdom: Part II,Winter,3.97,2022,Ongoing
The Heroic Legend of Arslan: Dust Storm Dance,Summer,3.97,2016,Ongoing
Meng Qi Shi Shen,no data,3.97,2018,2019
Sound! Euphonium,Spring,3.97,2015,Ongoing
Food Wars! The Third Plate: Erina no Shin Seikatsu,no data,3.96,2018,Ongoing
The Garden of Sinners Movie 1: Thanatos. (Overlooking View),no data,3.96,2007,Ongoing
Kodocha,no data,3.96,1996,1998
Akira,no data,3.96,1988,Ongoing
Little Witch Academia,no data,3.96,2013,Ongoing
Aikatsu Stars! Hoshi no Tsubasa,Spring,3.96,2017,2018
Claymore,Spring,3.96,2007,Ongoing
Brand New Animal,Spring,3.96,2020,Ongoing
Hidamari Sketch x 365 EX,no data,3.96,2009,Ongoing
Bai Yao Pu 2nd Season,no data,3.96,2021,Ongoing
Kyou kara Ore wa!!,no data,3.96,1992,1997
Yowamushi Pedal: New Generation,Winter,3.96,2017,Ongoing
Saiyuki Reload: Urasai,no data,3.96,2003,2004
Super Lovers 2,Winter,3.96,2017,Ongoing
Lie Huo Jiao Chou,no data,3.96,2021,Ongoing
Non Non Biyori Repeat OVA,no data,3.96,2016,2017
Hakkenden: Eight Dogs of the East 2,Summer,3.96,2013,Ongoing
Xie Wang Zhui Qi Zhi Yishi Qingcheng,no data,3.96,2020,2021
Macross Frontier Movie 2: Sayonara no Tsubasa,no data,3.96,2011,Ongoing
Wan Jie Xian Zong 5th Season,no data,3.96,2021,Ongoing
Kokoro Connect,Summer,3.96,2012,Ongoing
The World God Only Knows,Fall ,3.96,2010,Ongoing
Eden of The East Movie II: Paradise Lost,no data,3.96,2010,Ongoing
Mr. Osomatsu 2nd Season,Fall ,3.96,2017,2018
Sket Dance,Spring,3.96,2011,2012
Blue Exorcist: Kyoto Saga,Winter,3.96,2017,Ongoing
Wan Jie Fa Shen,no data,3.96,2020,2021
My Hero Academia - All Might: Rising The Animation,no data,3.96,2019,Ongoing
Zoku Sayonara Zetsubou Sensei,Winter,3.96,2008,Ongoing
Fate/Grand Order: Absolute Demonic Front - Babylonia,Fall ,3.96,2019,2020
Liang Bu Yi: Part II,no data,3.96,2021,Ongoing
Eden of The East Movie I: The King of Eden,no data,3.96,2009,Ongoing
Is It Wrong to Try to Pick Up Girls in a Dungeon? II,Summer,3.96,2019,Ongoing
The Rose of Versailles,no data,3.96,1979,1980
My Bride Is a Mermaid OVA,no data,3.96,2008,2009
Tiger & Bunny,Spring,3.96,2011,Ongoing
Capeta,Fall ,3.96,2005,2006
Kaguya-sama: Love is War - Ultra Romantic PV - Yu Ishigami Wants to Discuss It,no data,3.96,2021,Ongoing
IDOLiSH7,Winter,3.96,2018,Ongoing
Little Witch Academia: The Enchanted Parade,no data,3.95,2015,Ongoing
Yotsuiro Biyori,Spring,3.95,2018,Ongoing
Hayate the Combat Butler!!,Spring,3.95,2009,Ongoing
Wu Geng Ji 3rd Season,no data,3.95,2019,2020
The Heroic Legend of Arslan,Spring,3.95,2015,Ongoing
Mobile Suit Gundam Wing,no data,3.95,1995,1996
The Seven Deadly Sins Movie: Prisoners of the Sky,no data,3.95,2018,Ongoing
Hell Girl: Two Mirrors,Fall ,3.95,2006,2007
Super Dimensional Fortress Macross,no data,3.95,1982,1983
Seitokai Yakuindomo Movie 2,no data,3.95,2021,Ongoing
Meiji Tokyo Renka Movie: Yumihari no Serenade,no data,3.95,2015,Ongoing
My Little Monster,Fall ,3.95,2012,Ongoing
Shiki Specials,no data,3.95,2011,Ongoing
There She Is!!,no data,3.95,2003,2008
Orange -Mirai-,no data,3.95,2016,Ongoing
Mobile Suit Gundam: Thunderbolt - December Sky,no data,3.95,2016,Ongoing
Mr. Osomatsu,Fall ,3.95,2015,2016
Yuru Yuri ♪♪,Summer,3.95,2012,Ongoing
Wan Jie Xian Zong,no data,3.95,2018,Ongoing
Symphogear XV,Summer,3.95,2019,Ongoing
Cardcaptor Sakura: Clear Card-hen,Winter,3.95,2018,Ongoing
Zan Sayonara Zetsubou Sensei,Summer,3.95,2009,Ongoing
The Familiar of Zero: Knight of the Twin Moons,Summer,3.95,2007,Ongoing
Angel Beats! Stairway to Heaven,no data,3.95,2010,Ongoing
Toshokan Sensou: Kakumei no Tsubasa,no data,3.95,2012,Ongoing
Rakshasa Street 2nd Season,no data,3.95,2019,2020
Hidamari Sketch x Honeycomb,Fall ,3.95,2012,Ongoing
Xue Ying Lingzhu 2nd Season,no data,3.95,2020,2021
Quanzhi Fashi III,no data,3.95,2018,Ongoing
The Irregular at Magic High School,Spring,3.95,2014,Ongoing
Den-noh Coil,Spring,3.95,2007,Ongoing
Holo no Graffiti,Spring,3.95,2019,Ongoing
"Say ""I love you.""",Fall ,3.95,2012,Ongoing
Golden Time,Fall ,3.95,2013,2014
Scissor Seven Specials,no data,3.95,2018,Ongoing
Eve: Ao no Waltz,no data,3.95,2020,Ongoing
Love Stage!!,Summer,3.95,2014,Ongoing
Boruto: Naruto the Movie - The Day Naruto Became Hokage,no data,3.95,2016,Ongoing
Seitokai Yakuindomo*,Winter,3.95,2014,Ongoing
Master Keaton OVA,no data,3.95,1999,2000
Ling Jian Zun 2nd Season,no data,3.95,2019,Ongoing
The Prince of Tennis II Specials,no data,3.95,2012,2013
The Garden of Sinners Movie 6: Fairy Tale. (Oblivion Recording),no data,3.95,2008,Ongoing
Hakuouki: Demon of the Fleeting Blossom OVA,no data,3.95,2011,Ongoing
Fairy Tail Movie 1: Phoenix Priestess,no data,3.95,2012,Ongoing
Hinomaru Sumo,Fall ,3.95,2018,2019
Tamayura: Sotsugyou Shashin Movie 4 - Ashita,no data,3.95,2016,Ongoing
Drifters Specials,no data,3.95,2017,Ongoing
The Prince of Tennis: Another Story - Kako to Mirai no Message,no data,3.95,2009,Ongoing
Porco Rosso,no data,3.95,1992,Ongoing
"Problem Children Are Coming From Another World, Aren't They?",Winter,3.94,2013,Ongoing
To Love Ru: Darkness 2nd OVA,no data,3.94,2016,Ongoing
Fullmetal Alchemist The Movie: Conqueror of Shamballa,no data,3.94,2005,Ongoing
Goku Sayonara Zetsubou Sensei,no data,3.94,2008,2009
Death Note Rewrite 1: Visions of a God,no data,3.94,2007,Ongoing
Akudama Drive,Fall ,3.94,2020,Ongoing
School Rumble: Extra Class,no data,3.94,2005,Ongoing
L.O.R.D: Legend of Ravaging Dynasties,no data,3.94,2016,Ongoing
Kobato.,Fall ,3.94,2009,2010
Kill La Kill Special,no data,3.94,2014,Ongoing
Ie Naki Ko Remi,no data,3.94,1996,1997
Ani ni Tsukeru Kusuri wa Nai! 2,Summer,3.94,2018,Ongoing
Azumanga Daioh,Spring,3.94,2002,Ongoing
The Slime Diaries: That Time I Got Reincarnated as a Slime,Spring,3.94,2021,Ongoing
Quanzhi Fashi IV,no data,3.94,2020,Ongoing
Durarara!! X2 The Third Arc: Dufufufu!,no data,3.94,2016,Ongoing
Aria the OVA: Arietta,no data,3.94,2007,Ongoing
The Dog of Flanders Movie,no data,3.94,1997,Ongoing
Nura: Rise of the Youkai Clan,Summer,3.94,2010,Ongoing
Free! - Iwatobi Swim Club Specials,no data,3.94,2013,2014
The God of High School,Summer,3.94,2020,Ongoing
Beyond the Boundary,Fall ,3.94,2013,Ongoing
Genshiken 2,Fall ,3.94,2007,Ongoing
Inu X Boku Secret Service Special,no data,3.94,2012,Ongoing
The Irregular at Magic High School Movie: The Girl Who Summons the Stars,no data,3.94,2017,Ongoing
Kingdom,Summer,3.94,2012,2013
Interviews with Monster Girls: The Demi-chans' Summer Break,no data,3.94,2017,Ongoing
Kabaneri of the Iron Fortress Movie: The Battle of Unato,no data,3.94,2019,Ongoing
Detective Conan: The Burning Galactic Railway,no data,3.94,2020,Ongoing
Quanzhi Fashi V,no data,3.94,2021,Ongoing
Jiang Ziya,no data,3.94,2020,Ongoing
Ghost in the Shell: Arise,no data,3.94,2013,2014
Rurouni Kenshin Movie,no data,3.94,1997,Ongoing
Neru: Lost One's Weeping,no data,3.94,2013,Ongoing
Naruto Shippuden Movie 5: Blood Prison,no data,3.94,2011,Ongoing
Saga of Tanya the Evil: Operation Desert Pasta,Spring,3.94,2021,Ongoing
Hyperventilation,no data,3.94,2017,Ongoing
Fate/stay night: Unlimited Blade Works Movie,no data,3.94,2010,Ongoing
Yowamushi Pedal The Movie,no data,3.94,2015,Ongoing
A Day Before Us ZERO,no data,3.94,2018,2019
High School DxD Hero,Spring,3.94,2018,Ongoing
Chivalry of a Failed Knight,Fall ,3.94,2015,Ongoing
Saiyuki Reload: Burial,no data,3.94,2007,Ongoing
Hidamari Sketch x Hoshimittsu Specials,no data,3.94,2010,Ongoing
Zan Sayonara Zetsubou Sensei Bangaichi,no data,3.94,2009,2010
Last Exile,Spring,3.94,2003,Ongoing
Days 2nd Season,no data,3.94,2018,Ongoing
The Morose Mononokean,Summer,3.94,2016,Ongoing
Ni Tian Zhizun,no data,3.94,2021,Ongoing
Boruto: Naruto the Movie,no data,3.94,2015,Ongoing
Ani ni Tsukeru Kusuri wa Nai! 3,Summer,3.94,2019,Ongoing
Grimgar of Fantasy and Ash,Winter,3.94,2016,Ongoing
FLCL,no data,3.93,2000,2001
Carnival Phantasm,no data,3.93,2011,Ongoing
Wan Jie Xian Zong 4th Season,no data,3.93,2020,2021
Fairy Tail OVA,no data,3.93,2011,2013
Digimon Adventure Tri. Movie 2: Determination,no data,3.93,2016,Ongoing
Kino's Journey: Life Goes On,no data,3.93,2005,Ongoing
InuYasha The Movie 3: Swords of an Honorable Ruler,no data,3.93,2003,Ongoing
To Love Ru: Darkness OVA,no data,3.93,2012,2015
Tiger & Bunny The Movie: The Rising,no data,3.93,2014,Ongoing
Towanoquon Movie 6: Eternal Quon,no data,3.93,2011,Ongoing
Sora no Aosa wo Shiru Hito yo,no data,3.93,2019,Ongoing
Lupin III: Jigen's Gravestone,no data,3.93,2014,Ongoing
Hidamari Sketch x Hoshimittsu,Winter,3.93,2010,Ongoing
Nisekoi,Winter,3.93,2014,Ongoing
To Love Ru: Darkness,Fall ,3.93,2012,Ongoing
Mobile Suit Gundam SEED,Fall ,3.93,2002,2003
Legend of the Galactic Heroes: Die Neue These,Spring,3.93,2018,Ongoing
Hetalia: World Series Extra Episodes,no data,3.93,2011,2012
Yuru Yuri Nachu Yachumi!+,no data,3.93,2015,Ongoing
Out of Sight,no data,3.93,2010,Ongoing
Saint Seiya: The Hades Chapter - Inferno,no data,3.93,2005,2007
Cardcaptor Sakura,Spring,3.93,1998,2000
Rilakkuma and Kaoru,Spring,3.93,2019,Ongoing
Dragon Ball Z Movie 14: Battle of Gods,no data,3.93,2013,Ongoing
The Royal Tutor Movie,no data,3.93,2019,Ongoing
Yamada-kun and the Seven Witches,Spring,3.93,2015,Ongoing
Kuma Kuma Kuma Bear,Fall ,3.93,2020,Ongoing
Is this a Zombie? Of the Dead,Spring,3.93,2012,Ongoing
She and Her Cat: Everything Flows,Winter,3.93,2016,Ongoing
Tegami Bachi: Letter Bee Reverse,Fall ,3.93,2010,2011
Love Stage!! OVA,no data,3.93,2014,Ongoing
Maria Watches Over Us Season 3,no data,3.93,2006,2007
Tekkon Kinkreet,no data,3.93,2006,Ongoing
Aggretsuko (2016),Spring,3.93,2016,2018
Haibane Renmei,Fall ,3.93,2002,Ongoing
The Ancient Magus' Bride: The Boy from the West and the Knight of the Blue Storm,no data,3.93,2021,Ongoing
Baka and Test - Summon the Beasts OVA,no data,3.93,2011,Ongoing
One-Punch Man 2 Specials,no data,3.93,2019,2020
ORESUKI: Are you the only one who loves me? Ore-tachi no Game Set,no data,3.93,2020,Ongoing
School Rumble,Fall ,3.93,2004,2005
Goblin Slayer: Goblin's Crown,no data,3.93,2020,Ongoing
Mobile Suit Gundam 00 Special Edition II: End of World,no data,3.93,2009,Ongoing
Working!!,Spring,3.93,2010,Ongoing
Thus Spoke Kishibe Rohan,no data,3.93,2017,2020
Special A,Spring,3.93,2008,Ongoing
Cells at Work!!,Winter,3.93,2021,Ongoing
Mobile Suit Gundam 00 Special Edition I: Celestial Being,no data,3.93,2009,Ongoing
The Familiar of Zero F,Winter,3.93,2012,Ongoing
Hybrid Child,no data,3.93,2014,2015
The Prince of Tennis Movie 2: Eikoku-shiki Teikyuu Shiro Kessen!,no data,3.93,2011,Ongoing
Sweetness & Lightning,Summer,3.93,2016,Ongoing
Hidamari Sketch x 365,Summer,3.93,2008,Ongoing
My Hero Academia: Training of the Dead,no data,3.93,2017,Ongoing
High School DxD,Winter,3.93,2012,Ongoing
Tokyo Ghoul √A,Winter,3.93,2015,Ongoing
The Kawai Complex Guide to Manors and Hostel Behavior,Spring,3.93,2014,Ongoing
Gangsta.,Summer,3.93,2015,Ongoing
Heaven's Lost Property Movie 1: The Angeloid of Clockwork,no data,3.92,2011,Ongoing
Princess Tutu,Summer,3.92,2002,2003
"Don't Toy With Me, Miss Nagatoro",Spring,3.92,2021,Ongoing
Re:ZERO -Starting Life in Another World- The Frozen Bond,no data,3.92,2019,Ongoing
Yaoshenji,no data,3.92,2017,Ongoing
Good Luck Girl!,Summer,3.92,2012,Ongoing
To Love Ru: Darkness 2nd,Summer,3.92,2015,Ongoing
Words Bubble Up Like Soda Pop,no data,3.92,2021,Ongoing
Wan Jie Duzun,no data,3.92,2021,Ongoing
Magical Girl Lyrical Nanoha: Detonation,no data,3.92,2018,Ongoing
Tales of Vesperia ~The First Strike~,no data,3.92,2009,Ongoing
Gankutsuou: The Count of Monte Cristo,Fall ,3.92,2004,2005
Full Metal Panic! Invisible Victory,Spring,3.92,2018,Ongoing
Hugtto! Pretty Cure x Futari wa Pretty Cure Movie: All Stars Memories,no data,3.92,2018,Ongoing
Danganronpa 3: The End of Hope's Peak Academy- Hope Arc,no data,3.92,2016,Ongoing
Irresponsible Captain Tylor,no data,3.92,1993,Ongoing
Baki: The Great Raitai Tournament Saga,Spring,3.92,2020,Ongoing
Re:ZERO -Starting Life in Another World- Memory Snow,no data,3.92,2018,Ongoing
Forest of Piano Movie,no data,3.92,2007,Ongoing
Dragon Ball Z Kai,Spring,3.92,2009,2011
The Princess and the Pilot,no data,3.92,2011,Ongoing
Yakitate!! Japan,Fall ,3.92,2004,2006
The Irregular at Magic High School: Visitor Arc,Fall ,3.92,2020,Ongoing
One Piece Movie 4: Dead End Adventure,no data,3.92,2003,Ongoing
Hellsing,Fall ,3.92,2001,2002
Inuyashiki: Last Hero,Fall ,3.92,2017,Ongoing
Persona 3 the Movie 2: Midsummer Knight's Dream,no data,3.92,2014,Ongoing
Jueshi Wu Hun,no data,3.92,2020,Ongoing
Maison Ikkoku,no data,3.92,1986,1988
Maria Watches Over Us Season 4,Winter,3.92,2009,Ongoing
Kikuo: Aishite Aishite Aishite,no data,3.92,2015,Ongoing
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,Spring,3.92,2017,Ongoing
Mobile Suit Gundam 00 Special Edition III: Return the World,no data,3.92,2010,Ongoing
Xue Ying Lingzhu,no data,3.92,2018,2019
Beyond the Boundary Movie: I'll Be Here - Past,no data,3.92,2015,Ongoing
Trinity Seven Movie 2: Heavens Library & Crimson Lord,no data,3.92,2019,Ongoing
Wu Geng Ji,no data,3.92,2016,2017
Beyond the Boundary: Shinonome,no data,3.92,2014,Ongoing
Food Wars! Jump Festa 2016 Special,no data,3.92,2016,Ongoing
Strawberry Marshmallow OVA,no data,3.92,2007,Ongoing
Fanren Xiu Xian Chuan Specials: Yan Jia Bao Dazhan,no data,3.92,2021,Ongoing
By the Grace of the Gods,Fall ,3.92,2020,Ongoing
Initial D Battle Stage 2,no data,3.92,2007,Ongoing
Ranma 1/2 OVA,no data,3.92,1993,1994
Haikara-San: Here Comes Miss Modern Part 1,no data,3.92,2017,Ongoing
Banner of the Stars II,Summer,3.92,2001,Ongoing
Towanoquon Movie 4: The Roaring Anxiety,no data,3.92,2011,Ongoing
Shiki,Summer,3.92,2010,Ongoing
Psycho-Pass SS: Case. 2 - First Guardian,no data,3.91,2019,Ongoing
The Disastrous Life of Saiki K. (2013),no data,3.91,2013,Ongoing
"Love, Chunibyo & Other Delusions! Heart Throb",Winter,3.91,2014,Ongoing
School-Live!,Summer,3.91,2015,Ongoing
The Prince of Tennis: Another Story II - Ano Toki no Bokura,no data,3.91,2011,Ongoing
Baki: Son of Ogre,no data,3.91,2021,Ongoing
"Black Butler: His Butler, Performer",no data,3.91,2009,Ongoing
Death Note Rewrite 2: L's Successors,no data,3.91,2008,Ongoing
Saekano: How to Raise a Boring Girlfriend Flat,Spring,3.91,2017,Ongoing
No. 6,Summer,3.91,2011,Ongoing
Hetalia: The Beautiful World Specials,no data,3.91,2013,Ongoing
Tsuredure Children,Summer,3.91,2017,Ongoing
Sekirei: Pure Engagement,Summer,3.91,2010,Ongoing
Lucky Star,Spring,3.91,2007,Ongoing
"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",Spring,3.91,2021,Ongoing
Haré+Guu FINAL,no data,3.91,2003,2004
Gargantia on the Verdurous Planet,Spring,3.91,2013,Ongoing
Tsubasa Reservoir Chronicle 2nd Season,Spring,3.91,2006,Ongoing
White Snake,no data,3.91,2018,Ongoing
Arashi no Yoru ni,no data,3.91,2005,Ongoing
Ghost in the Shell 2: Innocence,no data,3.91,2004,Ongoing
Shinsei Kamattechan: Ruru's Suicide Show on a Livestream,no data,3.91,2020,Ongoing
The Garden of Sinners Remix: Gate of Seventh Heaven,no data,3.91,2009,Ongoing
Pandora Hearts,Spring,3.91,2009,Ongoing
Twittering Birds Never Fly ~The Clouds Gather~,no data,3.91,2020,Ongoing
K: Seven Stories Movie 4 - Lost Small World ~Outside the Cage~,no data,3.91,2018,Ongoing
Minami-ke Tadaima,Winter,3.91,2013,Ongoing
Is the Order a Rabbit?? Season 2,Fall ,3.91,2015,Ongoing
Ze Tian Ji 4th Season,no data,3.91,2018,Ongoing
Eve: Inochi no Tabekata,no data,3.91,2020,Ongoing
Hi Score Girl,Summer,3.91,2018,Ongoing
Full Moon wo Sagashite,Spring,3.91,2002,2003
Aikatsu! The Movie,no data,3.91,2014,Ongoing
Darwin's Game,Winter,3.91,2020,Ongoing
Mobile Suit Gundam: Thunderbolt,Fall ,3.91,2015,2016
"The Familiar of Zero: ""Rondo"" of Princesses",Summer,3.91,2008,Ongoing
Colorful (2010),no data,3.91,2010,Ongoing
Iga no Kabamaru,no data,3.91,1983,1984
Fox Spirit Matchmaker Season 5,no data,3.91,2017,Ongoing
Mobile Suit Gundam Wing: Operation Meteor,no data,3.91,1996,Ongoing
Yowamushi Pedal: Glory Line,Winter,3.91,2018,Ongoing
Unbelievable Space Love,no data,3.91,,Ongoing
"Sayonara, Zetsubou-Sensei",Summer,3.91,2007,Ongoing
Ranma 1/2 Akumu! Shunmin Kou,no data,3.9,2008,Ongoing
Girls und Panzer: This is the Real Anzio Battle!,no data,3.9,2014,Ongoing
Aria the Avvenire,no data,3.9,2015,Ongoing
Detective Conan: Black History 2,no data,3.9,2007,Ongoing
Obey Me!,Summer,3.9,2021,Ongoing
Miss Kobayashi's Dragon Maid S Specials,no data,3.9,2021,Ongoing
Shaonian Gexing,no data,3.9,2018,2019
Professor Layton and the Eternal Diva,no data,3.9,2009,Ongoing
Psycho-Pass 2,Fall ,3.9,2014,Ongoing
yama: Oz.,no data,3.9,2021,Ongoing
Full Metal Panic! The Second Raid: Episode 00,no data,3.9,2005,Ongoing
MILGRAM,no data,3.9,2020,Ongoing
Those Snow White Notes,Spring,3.9,2021,Ongoing
Lupin III: Part II,no data,3.9,1977,1980
Darker than Black: Gemini of the Meteor,Fall ,3.9,2009,Ongoing
Rage of Bahamut: Virgin Soul,Spring,3.9,2017,Ongoing
Karneval OVA,no data,3.9,2012,Ongoing
Kingsglaive: Final Fantasy XV,no data,3.9,2016,Ongoing
Strawberry Marshmallow Encore,no data,3.9,2009,Ongoing
Space Battleship Yamato 2199: Odyssey of the Celestial Ark,no data,3.9,2014,Ongoing
Free! - Iwatobi Swim Club,Summer,3.9,2013,Ongoing
The Prince of Tennis,Fall ,3.9,2001,2005
Kaleido Star,Spring,3.9,2003,2004
Knights of Sidonia,Spring,3.9,2014,Ongoing
Genshiken OVA,no data,3.9,2006,2007
"Daisy, A Hen into the Wild",no data,3.9,2011,Ongoing
Shakugan no Shana III,Fall ,3.9,2011,2012
Pretty Guardian Sailor Moon Eternal Movie 1,no data,3.9,2021,Ongoing
Hanada Shounen-shi,Fall ,3.9,2002,2003
Hori-san to Miyamura-kun (2018),no data,3.9,2018,2021
Persona 3 the Movie 1: Spring of Birth,no data,3.9,2013,Ongoing
Yu-Gi-Oh! Movie 4: The Dark Side of Dimensions,no data,3.9,2016,Ongoing
The Legend of the Legendary Heroes,Summer,3.9,2010,Ongoing
Gabriel Dropout Specials,no data,3.9,2017,Ongoing
Gungrave,Fall ,3.9,2003,2004
Barefoot Gen,no data,3.9,1983,Ongoing
Shakugan no Shana,Fall ,3.9,2005,2006
Durarara!! X2 The Second Arc: Onoroke Chakapoko,no data,3.9,2015,Ongoing
Star Martial God Technique,no data,3.9,2021,Ongoing
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,no data,3.9,2010,Ongoing
Nanbaka,Fall ,3.9,2016,Ongoing
Mitsudomoe Zouryouchuu!,Winter,3.9,2011,Ongoing
Juan Siliang,no data,3.9,2021,Ongoing
My Hero Academia: Jump Festa 2016 Special,no data,3.9,2016,Ongoing
High School DxD BorN Specials,no data,3.9,2015,2016
Paradise Kiss,Fall ,3.9,2005,Ongoing
Fate/Grand Carnival,no data,3.9,2021,Ongoing
Danganronpa 3: The End of Hope's Peak Academy- Despair Arc,Summer,3.89,2016,Ongoing
Fairy Tail 2 OVA,no data,3.89,2016,Ongoing
Pokemon: Twilight Wings,Winter,3.89,2020,Ongoing
Major 2nd,Spring,3.89,2018,Ongoing
Minami-ke,Fall ,3.89,2007,Ongoing
Kengan Ashura,Summer,3.89,2019,Ongoing
Yu Yu Hakusho Specials,no data,3.89,2018,Ongoing
A Whisker Away,Spring,3.89,2020,Ongoing
Haganai: I Don't Have Many Friends NEXT,Winter,3.89,2013,Ongoing
Bleach Movie 3: Fade to Black,no data,3.89,2008,Ongoing
Interspecies Reviewers,Winter,3.89,2020,Ongoing
Children Who Chase Lost Voices,no data,3.89,2011,Ongoing
Mieruko-chan,Fall ,3.89,2021,Ongoing
The Kawai Complex Guide to Manors and Hostel Behavior: First Time,no data,3.89,2014,Ongoing
Wo Shi Jiang Xiaobai 2nd Season,no data,3.89,2018,2019
