Rank,Name,Japanese_name,Type,Episodes,Studio
102,Rurouni Kenshin: Tsuiokuhen, Rurouni Kenshin: Trust & Betrayal,OVA  ,4,Studio DEEN
103,Descending Stories: Shouwa Genroku Rakugo Shinjuu, Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV   ,12,Studio DEEN
104,Haikyuu!! Movie 3: Talent and Sense, Haikyuu!! Movie 3: Sainou to Sense,Movie,no data,Production I.G
105,Mo Dao Zu Shi Q, The Founder of Diabolism Q,Web  ,30,B.C MAY PICTURES
106,Natsume's Book of Friends Season 2, Zoku Natsume Yuujinchou,TV   ,13,Brain's Base
107,Made in Abyss Movie: Dawn of the Deep Soul, Made in Abyss Movie: Fukaki Tamashii no Reimei,Movie,no data,Kinema Citrus
108,Fruits Basket 1st Season,,TV   ,25,TMS Entertainment
109,Kizumonogatari Part 3: Reiketsu, Kizumonogatari Part 3: Reiketsu-hen,Movie,no data,SHAFT
110,Dr. Stone: Stone Wars,,TV   ,11,8 Pan
111,My Hero Academia 4, Boku no Hero Academia 4,TV   ,25,Bones
112,Owarimonogatari II,,TV Sp,no data,SHAFT
113,Great Teacher Onizuka,,TV   ,43,Pierrot
114,Your lie in April, Shigatsu wa Kimi no Uso,TV   ,22,A-1 Pictures
115,Bungo Stray Dogs 3rd Season,,TV   ,12,Bones
116,Kamisama Kiss 2nd Season, Kamisama Hajimemashita◎,TV   ,12,TMS Entertainment
117,Violet Evergarden: Eternity and the Auto Memory Doll, Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,no data,Kyoto Animation
118,Mob Psycho 100,,TV   ,12,Bones
119,Natsume's Book of Friends Season 6 Specials, Natsume Yuujinchou Roku Specials,DVD S,no data,Shuka
120,Kuroko's Basketball 2, Kuroko no Basket 2,TV   ,25,Production I.G
121,Natsume's Book of Friends Movie: Ephemeral Bond, Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie,no data,Shuka
122,Odd Taxi,,TV   ,13,P.I.C.S.
123,The Legend of Hei,"Alt titles: Luo Xiaohei Zhan Ji Movie, Luo Xiao Hei Zhan Ji Movie",Movie,no data,
124,Death Note,,TV   ,37,MADHOUSE
125,Moriarty the Patriot 2nd Season, Yuukoku no Moriarty 2nd Season,TV   ,13,Production I.G
126,Fate/stay night: Heaven's Feel III. spring song,,Movie,no data,ufotable
127,One Piece Movie 14: Stampede,,Movie,no data,Toei Animation
128,Kingdom 3,,TV   ,26,St. Signpost
129,One Piece,,TV   ,100,Toei Animation
130,Mushishi: Hihamukage, Mushishi: Sun-Eating Shade,TV Sp,no data,Artland
131,Tokyo Revengers,,TV   ,24,LIDEN FILMS
132,My Hero Academia Movie 2: Heroes:Rising, Boku no Hero Academia Movie 2: Heroes:Rising,Movie,no data,Bones
133,Fate/Zero 2,,TV   ,12,ufotable
134,My Hero Academia, Boku no Hero Academia,TV   ,13,Bones
135,Steins;Gate Movie: Load Region of Deja Vu, Steins;Gate Movie: Fuka Ryouiki no Deja vu,Movie,no data,WHITE FOX
136,KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson, Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,no data,J.C.Staff
137,Yuri!!! on Ice,,TV   ,12,MAPPA
138,Dou Po Cangqiong: San Nian Zhi Yao, Battle Through the Heavens: San Nian Zhi Yao,Web  ,12,Motion Magic
139,Dororo (2019),,TV   ,24,MAPPA
140,Bunny Drop, Usagi Drop,TV   ,11,Production I.G
141,Gintama: Shinyaku Benizakura-hen, Gintama: The Movie,Movie,no data,Sunrise
142,The Garden of Sinners Movie 5: Paradox Paradigm, Kara no Kyoukai Movie 5: Mujun Rasen,Movie,no data,ufotable
143,Bakuman. 3,,TV   ,25,J.C.Staff
144,The Disastrous Life of Saiki K., Saiki Kusuo no Psi Nan,TV   ,120,J.C.Staff
145,Given: Uragawa no Sonzai,,OVA  ,1,Lerche
146,Black Butler: Book of the Atlantic, Kuroshitsuji Movie: Book of the Atlantic,Movie,no data,A-1 Pictures
147,The Boy and the Beast, Bakemono no Ko,Movie,no data,Studio Chizu
148,Miss Kobayashi's Dragon Maid S, Kobayashi-san Chi no Maid Dragon S,TV   ,12,Kyoto Animation
149,Kono Oto Tomare! 2nd Season,,TV   ,13,Platinum Vision
150,The Disappearance of Haruhi Suzumiya, Suzumiya Haruhi no Shoushitsu,Movie,no data,Kyoto Animation
151,Kizumonogatari Part 2: Nekketsu, Kizumonogatari Part 2: Nekketsu-hen,Movie,no data,SHAFT
152,Mushishi Zoku Shou: Suzu no Shizuku, Mushishi -Next Passage- Movie,Movie,no data,Artland
153,Overlord III,,TV   ,13,MADHOUSE
154,Re:ZERO -Starting Life in Another World- Season 2: Part II, Re:Zero Kara Hajimeru Isekai Seikatsu Season 2: Part II,TV   ,12,WHITE FOX
155,Laid-Back Camp 2nd Season, Yuru Camp 2nd Season,TV   ,13,C-Station
156,Saga of Tanya the Evil Movie, Youjo Senki Movie,Movie,no data,NUT
157,Mushishi Zoku Shou: Odoro no Michi, Mushishi -Next Passage- Path of Thorns,TV Sp,no data,Artland
158,The Disastrous Life of Saiki K. 3, Saiki Kusuo no Psi Nan: Kanketsu-hen,TV Sp,no data,J.C.Staff
159,Hellsing Ultimate,,OVA  ,10,Graphinica
160,Natsume's Book of Friends Season 5 Specials, Natsume Yuujinchou Go Specials,DVD S,no data,Shuka
161,JoJo's Bizarre Adventure Re-Edited,,TV Sp,no data,David Production
162,Parasyte -the maxim-, Kiseijuu: Sei no Kakuritsu,TV   ,24,MADHOUSE
163,Hikari: Be My Light,,Web  ,no data,
164,Ouran High School Host Club, Ouran Koukou Host-bu,TV   ,26,Bones
165,Food Wars! The Second Plate, Shokugeki no Souma: Ni no Sara,TV   ,13,J.C.Staff
166,Ghost in the Shell: Stand Alone Complex 2nd Gig, Koukaku Kidoutai: Stand Alone Complex 2nd Gig,TV   ,26,Production I.G
167,Barakamon,,TV   ,12,Kinema Citrus
168,Noragami Aragoto,,TV   ,13,Bones
169,Ace of the Diamond: Act II, Diamond no Ace: Act II,TV   ,52,MADHOUSE
170,Re:ZERO -Starting Life in Another World- Season 2, Re:Zero Kara Hajimeru Isekai Seikatsu Season 2,TV   ,13,WHITE FOX
171,Ascendance of a Bookworm: Part II, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen: Part II,TV   ,12,Ajia-do
172,"Kamisama Kiss: Kamisama, Shiawase ni Naru"," Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",OVA  ,1,TMS Entertainment
173,Quanzhi Gaoshou: Tebie Pian, The King's Avatar SP,OVA  ,3,Colored Pencil Animation
174,Steins;Gate 0,,TV   ,23,WHITE FOX
175,Golden Kamuy Season 3,,TV   ,12,Geno Studio
176,Weathering With You, Tenki no Ko,Movie,no data,CoMix Wave Films
177,Semantic Error,,Web  ,no data,
178,86: Eighty-Six - Part II, 86: Eighty-Six - Dai 2 Cour,TV   ,no data,A-1 Pictures
179,Dou Po Cangqiong 4th Season, Battle Through the Heavens 4th Season,Web  ,24,Motion Magic
180,School Babysitters, Gakuen Babysitters,TV   ,12,Brain's Base
181,Douluo Dalu, Soul Land,Web  ,26,Sparkly Key Animation Studio
182,The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B), Kara no Kyoukai Movie 7: Satsujin Kousatsu (Part B),Movie,no data,ufotable
183,Major Season 5,,TV   ,25,Synergy SP
184,Bungo Stray Dogs 2nd Season,,TV   ,12,Bones
185,Maquia: When the Promised Flower Blooms, Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie,no data,P.A. WORKS
186,Steins;Gate: Egoistic Poriomania, Steins;Gate: Oukoubakko no Poriomania,DVD S,no data,WHITE FOX
187,Mushishi,,TV   ,26,Artland
188,The Stranger by the Shore,"Alt titles: L'Étranger de la Plage, Umibe no Étranger",Movie,no data,Studio Hibari
189,One Piece Movie 10: Strong World,,Movie,no data,Toei Animation
190,Food Wars! The Third Plate, Shokugeki no Souma: San no Sara,TV   ,12,J.C.Staff
191,Kuroko's Basketball: Last Game, Kuroko no Basket: Last Game,Movie,no data,Production I.G
192,Tengen Toppa Gurren Lagann, Gurren Lagann,TV   ,27,GAINAX
193,Kamisama Kiss, Kamisama Hajimemashita,TV   ,13,TMS Entertainment
194,Moriarty the Patriot, Yuukoku no Moriarty,TV   ,11,Production I.G
195,Kuroko's Basketball: The Greatest Present, Kuroko no Basket: Saikou no Present Desu,DVD S,no data,Production I.G
196,Kaguya-sama: Love Is War, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV   ,12,A-1 Pictures
197,Food Wars! Shokugeki no Souma, Shokugeki no Souma,TV   ,24,J.C.Staff
198,Mushoku Tensei: Jobless Reincarnation, Mushoku Tensei: Isekai Ittara Honki Dasu,TV   ,11,Studio Bind
199,Snow White with the Red Hair 2nd Season, Akagami no Shirayuki-hime 2nd Season,TV   ,12,Bones
200,JoJo's Bizarre Adventure: Stardust Crusaders, JoJo no Kimyou na Bouken: Stardust Crusaders,TV   ,24,David Production
201,Natsume Yuujinchou: Itsuka Yuki no Hi ni, Natsume's Book of Friends: Itsuka Yuki no Hi ni,OVA  ,1,Brain's Base
202,Detective Conan: Episode One - The Great Detective Turned Small, Detective Conan Episode One: Chiisakunatta Meitantei,TV Sp,no data,TMS Entertainment
203,No Game No Life,,TV   ,12,MADHOUSE
204,Chihayafuru 2,,TV   ,25,MADHOUSE
205,Gintama: Yorinuki Gintama-san on Theater 2D,,Other,no data,Sunrise
206,Legend of the Galactic Heroes, Ginga Eiyuu Densetsu,OVA  ,11,Magic Bus
207,The Quintessential Quintuplets 2, 5-toubun no Hanayome ∬,TV   ,12,Bibury Animation Studios
208,Black Butler: Book of Murder, Kuroshitsuji: Book of Murder,OVA  ,2,A-1 Pictures
209,Yuri!!! on Ice: Welcome to The Madness,,DVD S,no data,MAPPA
210,My Neighbor Totoro, Tonari no Totoro,Movie,no data,Studio Ghibli
211,Food Wars! The Third Plate: Totsuki Train Arc, Shokugeki no Souma: San no Sara - Toutsuki Ressha,TV   ,12,J.C.Staff
212,Anohana: The Flower We Saw That Day, Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV   ,11,A-1 Pictures
213,Gintama: Aizome Kaori-hen,,OVA  ,2,BN Pictures
214,Fate/stay night: Unlimited Blade Works 2,,TV   ,13,ufotable
215,Fate/stay night: Heaven's Feel II. lost butterfly,,Movie,no data,ufotable
216,Hunter x Hunter OVA 3: Greed Island Final,,OVA  ,14,Nippon Animation
217,Kuroko's Basketball, Kuroko no Basket,TV   ,25,Production I.G
218,Naruto Shippuden,,TV   ,500,Pierrot
219,Maid-sama!, Kaichou wa Maid-sama!,TV   ,26,J.C.Staff
220,Fairy Tail: Final Season,,TV   ,51,A-1 Pictures
221,Scissor Seven 3rd Season, Cike Wu Liuqi 3rd Season,Web  ,10,Sharefun Studio
222,Fairy Tail 2,,TV   ,102,A-1 Pictures
223,Hajime no Ippo: Champion Road,,TV Sp,no data,MADHOUSE
224,Chihayafuru 3,,TV   ,24,MADHOUSE
225,Haikyuu!! Riku vs Kuu," Haikyuu!! Land vs. Air & The ""Path"" of the Ball",OVA  ,2,Production I.G
226,Violet Evergarden Special," Violet Evergarden: ""Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou""",DVD S,no data,Kyoto Animation
227,Bakuman. 2,,TV   ,25,J.C.Staff
228,Spice and Wolf II, Ookami to Koushinryou 2,TV   ,12,Brain's Base
229,Magi: The Kingdom of Magic,,TV   ,25,A-1 Pictures
230,Black Butler: Book of Circus, Kuroshitsuji: Book of Circus,TV   ,10,A-1 Pictures
231,Gintama: Shinyaku Benizakura-hen Special, Gintama: The Movie Special,DVD S,no data,Sunrise
232,Yona of the Dawn, Akatsuki no Yona,TV   ,24,Pierrot
233,Evangelion: 3.0+1.0 Thrice Upon a Time, Shin Evangelion Gekijou-ban :||,Movie,no data,Khara
234,Haikyuu!! Movie 2: Shousha to Haisha, Haikyuu!! Movie 2: The Winner and the Loser,Movie,no data,Production I.G
235,School Babysitters Special, Gakuen Babysitters Special,DVD S,no data,Brain's Base
236,Toilet-Bound Hanako-kun, Jibaku Shounen Hanako-kun,TV   ,12,Lerche
237,Shelter,,Music,no data,A-1 Pictures
238,Scissor Seven 2nd Season, Cike Wu Liuqi 2nd Season,Web  ,10,Sharefun Studio
239,Non Non Biyori Nonstop,,TV   ,12,SILVER LINK.
240,Samurai Champloo,,TV   ,26,Manglobe
241,Run with the Wind, Kaze ga Tsuyoku Fuiteiru,TV   ,23,Production I.G
242,My Dress-Up Darling, Sono Bisque Doll wa Koi wo Suru,TV   ,no data,CloverWorks
243,Grave of the Fireflies, Hotaru no Haka,Movie,no data,Studio Ghibli
244,JoJo's Bizarre Adventure: Phantom Blood, JoJo no Kimyou na Bouken: Phantom Blood,Movie,no data,A.P.P.P.
245,Tengen Toppa Gurren Lagann: Lagann-hen, Gurren Lagann Movie 2: The Lights in the Sky Are Stars,Movie,no data,GAINAX
246,Haikyuu!! Movie 1: Owari to Hajimari, Haikyuu!! Movie 1: The End and the Beginning,Movie,no data,Production I.G
247,No Game No Life: Zero,,Movie,no data,MADHOUSE
248,Shouwa Genroku Rakugo Shinjuu,,TV   ,13,Studio DEEN
249,Dragon Ball Super Movie: Broly,,Movie,no data,Toei Animation
250,Detective Conan Movie 20: The Darkest Nightmare, Detective Conan Movie 20: Junkoku no Nightmare,Movie,no data,TMS Entertainment
251,Sasaki and Miyano, Sasaki to Miyano,TV   ,no data,Studio DEEN
252,Black Lagoon: The Second Barrage,,TV   ,12,MADHOUSE
253,Ace of the Diamond: Second Season, Diamond no Ace: Second Season,TV   ,51,MADHOUSE
254,My Teen Romantic Comedy SNAFU Climax, Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV   ,12,feel.
255,Evangelion: 2.0 You Can (Not) Advance, Evangelion Shin Gekijouban: Ha,Movie,no data,Khara
256,Major Season 6,,TV   ,25,Synergy SP
257,Bungo Stray Dogs Wan!,,TV   ,12,Nomad
258,Made in Abyss: Hourou Suru Tasogare, Made in Abyss Part 2: Wandering Twilight,Movie,no data,Kinema Citrus
259,Rascal Does Not Dream of Bunny Girl Senpai, Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai,TV   ,13,CloverWorks
260,Kingdom 2,,TV   ,39,Pierrot
261,InuYasha: The Final Act, Inuyasha Kanketsu-hen,TV   ,26,Sunrise
262,Gintama: The Semi-Final,,Web  ,2,BN Pictures
263,Major Season 3,,TV   ,26,Studio Hibari
264,Bungo Stray Dogs Movie: Dead Apple,,Movie,no data,Bones
265,Major: World Series,,OVA  ,2,Synergy SP
266,Overlord,,TV   ,13,MADHOUSE
267,Shanhe Jian Xin,,Web  ,16,Motion Magic
268,World Trigger 3rd Season,,TV   ,no data,Toei Animation
269,Nausicaa of the Valley of the Wind, Kaze no Tani no Nausicaa,Movie,no data,Top Craft
270,Blue Spring Ride: Page.13, Ao Haru Ride: Page.13,OVA  ,1,Production I.G
271,The Ancient Magus' Bride, Mahoutsukai no Yome,TV   ,24,WIT Studio
272,Hunter x Hunter OVA 2: Greed Island,,OVA  ,8,Nippon Animation
273,Monster,,TV   ,74,MADHOUSE
274,Fullmetal Alchemist, Hagane no Renkinjutsushi,TV   ,51,Bones
275,Kids on the Slope, Sakamichi no Apollon,TV   ,12,MAPPA
276,Assassination Classroom, Ansatsu Kyoushitsu,TV   ,22,Lerche
277,One Piece Film: Z,,Movie,no data,Toei Animation
278,Hunter x Hunter,,TV   ,62,Nippon Animation
279,Zoku Owarimonogatari,,Movie,no data,SHAFT
280,Komi Can't Communicate," Komi-san wa, Comyushou desu.",TV   ,12,OLM
281,A Place Further Than the Universe, Sora yori mo Tooi Basho,TV   ,13,MADHOUSE
282,K-On! Movie,,Movie,no data,Kyoto Animation
283,Major Season 2,,TV   ,26,Studio Hibari
284,"Welcome to Demon School, Iruma-kun 2", Mairimashita! Iruma-kun 2,TV   ,21,BN Pictures
285,Great Pretender,,Web  ,23,WIT Studio
286,Fate/stay night: Unlimited Blade Works,,TV   ,12,ufotable
287,"Haikyuu!! vs. ""Akaten""", Haikyuu!! Jump Festa 2015 Special,Other,no data,Production I.G
288,Quanzhi Gaoshou 2, The King's Avatar 2,Web  ,12,Colored Pencil Animation
289,The Ancient Magus' Bride: Those Awaiting a Star, Mahoutsukai no Yome: Hoshi Matsu Hito,OVA  ,3,WIT Studio
290,Sword of the Stranger, Stranger -Mukou Hadan-,Movie,no data,Bones
291,KonoSuba – God's blessing on this wonderful world! 2, Kono Subarashii Sekai ni Shukufuku wo! 2,TV   ,10,Studio DEEN
292,Initial D Final Stage,,TV   ,no data,Synergy SP
293,Cowboy Bebop: The Movie,,Movie,no data,Bones
294,Rainbow: Nisha Rokubou no Shichinin,,TV   ,26,MADHOUSE
295,Wotakoi: Love is Hard for Otaku OVA, Wotaku ni Koi wa Muzukashii OVA,OVA  ,2,Lapin Track
296,Major Season 1,,TV   ,26,Studio Hibari
297,Mobile Suit Gundam: Iron-Blooded Orphans 2,,TV   ,25,Sunrise
298,Major Season 4,,TV   ,26,Synergy SP
299,The Disastrous Life of Saiki K. - Reawakened, Saiki Kusuo no Psi Nan: Shidou-hen,Web  ,6,J.C.Staff
300,Hunter x Hunter OVA,,OVA  ,8,Nippon Animation
301,Saekano: How to Raise a Boring Girlfriend Fine, Saenai Heroine no Sodate-kata Fine,Movie,no data,CloverWorks
302,ReLIFE: Kanketsu-hen,,OVA  ,4,Double Eagle
303,Quanzhi Gaoshou Movie: For the Glory, The King's Avatar Movie: For the Glory,Movie,no data,
304,Legend of the Galactic Heroes: Die Neue These Second 3, Ginga Eiyuu Densetsu: Die Neue These Seiran 3,Movie,no data,Production I.G
305,Kamisama Kiss OVA, Kamisama Hajimemashita OVA,OVA  ,1,TMS Entertainment
306,History's Strongest Disciple Kenichi, Shijou Saikyou no Deshi Kenichi,TV   ,50,TMS Entertainment
307,Castlevania Season 2,,Web  ,8,Mua Film
308,Wu Dong Qiankun 2nd Season,,Web  ,12,Motion Magic
309,Baccano!,,TV   ,13,Brain's Base
310,One Outs,,TV   ,25,MADHOUSE
311,Re:ZERO -Starting Life in Another World-, Re:Zero Kara Hajimeru Isekai Seikatsu,TV   ,25,WHITE FOX
312,Skip Beat!,,TV   ,25,Hal Film Maker
313,Golden Kamuy Season 2,,TV   ,12,Geno Studio
314,Eve: Kaikai Kitan,,Music,no data,MAPPA
315,Puella Magi Madoka Magica the Movie Part 3: Rebellion, Mahou Shoujo Madoka Magica Movie 3: Hangyaku no Monogatari,Movie,no data,SHAFT
316,Detective Conan Movie 6: The Phantom of Baker Street, Meitantei Conan Movie 6: Baker Street no Bourei,Movie,no data,TMS Entertainment
317,Owarimonogatari,,TV   ,12,SHAFT
